TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Integer overflow,external/llvm/lib/Target/X86/X86ISelLowering.cpp,10534,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uhash.c,425,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/AST/ASTImporter.cpp,4645,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/av/services/camera/libcameraservice/Camera2Device.cpp,685,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/aac/libSBRdec/src/sbrdecoder.cpp,1147,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,frameworks/av/media/libstagefright/mpeg2ts/ATSParser.cpp,1147,Unknown,+,+,+,+,,+,,,,,,,,5
Assigning value to const variable,external/icu4c/i18n/numfmt.cpp,1057,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/skia/src/core/SkStream.cpp,682,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/valgrind/main/memcheck/mc_main.c,520,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/TableGen/Record.cpp,1480,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uvector.cpp,126,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/VMCore/DebugLoc.cpp,179,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/distrib/libpng-1.2.19/pngpread.c,122,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkBlitter.cpp,425,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/media/libstagefright/wifi-display/ParsedMessage.cpp,251,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Support/SmallPtrSet.cpp,73,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/media/libstagefright/wifi-display/ParsedMessage.cpp,251,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/MC/MCContext.h,262,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,1345,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/include/core/SkRect.h,66,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Serialization/ASTReader.cpp,1602,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IBufferQueue.c,96,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Lex/ScratchBuffer.cpp,40,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/lib/CodeGen/MachineSSAUpdater.cpp,69,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/dom/SelectElement.cpp,136,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/linux-tools-perf/util/include/linux/added/hash.h,47,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/openssl/ssl/ssl_lib.c,1073,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/libvideoeditor/vss/mcs/src/M4MCS_API.c,9188,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/qemu/distrib/jpeg-6b/jquant1.c,646,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,4446,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/e2fsprogs/lib/ext2fs/tdb.c,552,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/AST/VTTBuilder.cpp,193,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/e2fsprogs/resize/resize2fs.c,2037,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/Transforms/Utils/SSAUpdaterImpl.h,137,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,549,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IObject.c,248,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/Analysis/BlockFrequencyImpl.h,279,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/HashFunctions.h,68,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/base/core/jni/android/graphics/Shader.cpp,326,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/TwoAddressInstructionPass.cpp,568,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/base/core/jni/android/graphics/Shader.cpp,201,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/wilhelm/src/itf/IAndroidBufferQueue.c,247,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Lex/PreprocessingRecord.cpp,317,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,system/extras/tests/fstest/perm_checker.c,126,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/linux-tools-perf/util/strbuf.c,117,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/VMCore/PassManager.cpp,489,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/ipsec-tools/setup.c,330,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Rewrite/Frontend/RewriteObjC.cpp,207,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,179,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/opencv/cv/src/mycvHaarDetectObjects.cpp,448,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanDetector.c,582,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/CallEvent.cpp,697,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/rendering/RenderText.cpp,1379,Unknown,+,+,+,+,+,+,,,,,+,+,+,9
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,178,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/include/llvm/Support/PredIteratorCache.h,49,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkBlitter.cpp,724,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/chnsecal.cpp,635,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Sema/SemaInit.cpp,2124,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IAndroidEffectSend.c,50,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/MachineLoopRanges.cpp,52,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/compile/libbcc/bcinfo/BitReader_3_0/BitcodeReader.cpp,1888,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/native/libs/gui/Sensor.cpp,103,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/CodeGenPrepare.cpp,503,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/AST/ASTImporter.cpp,4286,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/media/libstagefright/codecs/avc/common/src/reflist.cpp,503,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/lib/Analysis/BasicAliasAnalysis.cpp,1285,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IVirtualizer.c,44,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/MemRegion.cpp,1254,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/AST/DeclBase.cpp,71,Unknown,+,+,+,+,+,+,+,+,+,+,+,,+,12
Assigning value to const variable,external/clang/lib/Frontend/ASTUnit.cpp,136,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_TensorEm/Cluster2D.c,388,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/Scanner.c,187,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/neven/Embedded/common/src/b_APIEm/BFFaceFinder.c,255,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/ExecutionEngine/JIT/JITEmitter.cpp,981,Unclear,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/utils/TableGen/ClangDiagnosticsEmitter.cpp,254,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/neven/Embedded/common/src/b_APIEm/BFFaceFinder.c,254,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/ipsec-tools/src/racoon/remoteconf.c,661,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/neven/Embedded/common/src/b_APIEm/BFFaceFinder.c,256,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,out/target/product/generic/obj/STATIC_LIBRARIES/libext_intermediates/libxt_comment.c,36,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,6027,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/llvm/lib/Support/APFloat.cpp,902,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,system/core/libcutils/tztime.c,1926,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Frontend/ASTUnit.cpp,1291,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/TableGen/Record.cpp,869,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/mksh/src/var.c,1502,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/amrnb/common/src/sub.cpp,202,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/unicode/calendar.h,2244,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/qemu/hw/bt-l2cap.c,571,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,1346,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utext.cpp,1699,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/wilhelm/src/itf/IEnvironmentalReverb.c,589,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/coregrind/m_debuginfo/debuginfo.c,3879,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/CodeGen/SelectionDAG/FastISel.cpp,265,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1486,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,external/harfbuzz/src/harfbuzz-gpos.c,5943,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/CrashRecoveryContext.cpp,47,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/MachineInstr.cpp,761,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/on2/h264dec/source/h264bsd_dpb.c,1033,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/speex/libspeex/preprocess.c,1028,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucoleitr.cpp,183,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/ScanDetector.c,468,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/CodeGen/SelectionDAG/FastISel.cpp,252,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,5150,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/Type.h,103,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/IdempotentOperationChecker.cpp,153,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/qemu/android/utils/refset.c,33,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/ipsec-tools/src/racoon/remoteconf.c,659,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IRecord.c,148,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/APInt.cpp,380,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/skia/src/core/Sk64.cpp,170,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uvectr64.cpp,202,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/MC/MCAssembler.h,971,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,dalvik/vm/analysis/DexPrepare.cpp,1076,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IBufferQueue.c,98,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/locid.cpp,391,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9/ValueEnumerator.cpp,439,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/MC/MCAsmStreamer.cpp,304,FP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/neven/Embedded/common/src/b_TensorEm/Cluster2D.c,133,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/umapfile.c,209,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uvectr32.cpp,107,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Support/APFloat.cpp,3034,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/nfrs.cpp,338,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/unorm_it.c,322,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/ubidiln.c,639,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1767,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Vector.h,560,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/ADT/ImmutableSet.h,640,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/stlport/stlport/stl/_algobase.h,92,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/native/opengl/libs/ETC1/etc1.cpp,580,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/AsmPrinter/DwarfDebug.cpp,635,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Frontend/CacheTokens.cpp,236,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/VMCore/Instructions.cpp,3216,Unknown,+,+,+,+,+,+,,,,,,,+,7
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/RetainCountChecker.cpp,681,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/e2fsprogs/lib/ext2fs/gen_bitmap.c,105,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9_func/ValueEnumerator.cpp,439,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IEqualizer.c,61,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Serialization/ASTReader.cpp,5423,Unknown,+,,,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/clang/lib/Lex/ModuleMap.cpp,359,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/SmallPtrSet.cpp,99,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,bionic/linker/linker_phdr.c,211,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/icu4c/i18n/digitlst.cpp,546,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1583,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/clang/lib/Lex/ModuleMap.cpp,371,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/qemu/hw/bt-l2cap.c,642,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/RetainCountChecker.cpp,700,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashCountedSet.h,168,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,development/tools/emulator/system/camera/EmulatedCamera2.cpp,223,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,hardware/libhardware/modules/gralloc/framebuffer.cpp,276,TP,+,+,+,+,+,+,,,,,,,,6
Integer overflow,system/core/libcutils/sched_policy.c,198,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/WebCore/page/OriginAccessEntry.cpp,74,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/libxml2/xpointer.c,2427,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/msgfmt.cpp,1696,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/page/OriginAccessEntry.cpp,74,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/libvideoeditor/lvpp/VideoEditorTools.cpp,3769,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/qemu/android/skin/rect.c,239,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IPlay.c,274,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Analysis/UninitializedValues.cpp,349,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/loader/appcache/ApplicationCacheStorage.cpp,1034,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/messagepattern.cpp,1080,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/lib/CodeGen/LiveDebugVariables.cpp,432,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,323,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1390,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/LICM.cpp,289,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,188,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/calendar.cpp,3363,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IEnvironmentalReverb.c,471,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/native/libs/utils/String8.cpp,333,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/sortkey.cpp,366,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/csdetect.cpp,194,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,1351,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,system/core/sh/eval.c,1231,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/mksh/src/var.c,1503,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,6001,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/qemu/android/camera/camera-service.c,622,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,/usr/include/c++/4.8/bits/stl_tree.h,1027,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/platform/network/CredentialStorage.cpp,134,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/iptables/iptables/xtables.c,134,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,frameworks/native/include/utils/String8.h,268,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/calendar.cpp,1261,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/chromium/net/base/mime_util.cc,416,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/include/clang/StaticAnalyzer/Core/CheckerManager.h,472,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Sema/AnalysisBasedWarnings.cpp,904,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/APInt.cpp,2653,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/skia/src/core/SkPaint.cpp,254,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/css/CSSSelectorList.cpp,81,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/MachineModuleInfo.cpp,118,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,libcore/luni/src/main/native/libcore_icu_NativeConverter.cpp,518,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/Scanner.c,853,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/utext.cpp,2697,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/include/llvm/Instruction.h,82,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/umapfile.c,210,Unknown,+,+,+,+,+,+,,,,+,,,,7
Assigning value to const variable,external/llvm/include/llvm/ADT/DenseMap.h,656,Unknown,+,+,+,+,+,+,,,,+,+,+,,9
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/Reassociate.cpp,1187,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/qemu/hw/bt-l2cap.c,587,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/tremolo/Tremolo/vorbisfile.c,926,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/utils/TableGen/CodeGenSchedule.cpp,111,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/av/services/camera/libcameraservice/Camera2Device.cpp,840,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
